"","am_sid","sciname"
"2789","Fis-150193","Bathypterois parini"
"2790","Fis-150207","Takifugu pseudommus"
"2791","Fis-150213","Canthigaster figueiredoi"
"2792","Fis-150216","Canthigaster jamestyleri"
"2793","Fis-150237","Trachyscorpia eschmeyeri"
"2794","Fis-150238","Scopelarchoides kreffti"
"2795","Fis-150239","Hippoglossina oblonga"
"2796","Fis-150240","Leptocephalus ophichthoides"
"2797","Fis-150243","Canthigaster capistrata"
"2798","Fis-150286","Salarias sexfilum"
"2799","Fis-150288","Praealticus oortii"
"2800","Fis-150289","Praealticus caesius"
"2801","Fis-150295","Meiacanthus phaeus"
"2802","Fis-150301","Meiacanthus urostigma"
"2803","Fis-150312","Hypleurochilus caudovittatus"
"2804","Fis-150314","Hypleurochilus pseudoaequipinnis"
"2805","Fis-150321","Enchelyurus kraussii"
"2806","Fis-150326","Nannosalarias nativitatis"
"2807","Fis-150335","Gaidropsarus novaezealandiae"
"2808","Fis-150344","Doryrhamphus negrosensis"
"2809","Fis-150365","Hypoplectrodes cardinalis"
"2810","Fis-150366","Lepidoperca filamenta"
"2811","Fis-150373","Caprodon krasyukovae"
"2812","Fis-150381","Pseudanthias fucinus"
"2813","Fis-150384","Pseudanthias rubrolineatus"
"2814","Fis-150394","Bathyanthias cubensis"
"2815","Fis-150406","Lepidoperca aurantia"
"2816","Fis-150423","Bathyanthias roseus"
"2817","Fis-150432","Hypoplectrodes wilsoni"
"2818","Fis-150434","Hypoplectrodes nigroruber"
"2819","Fis-150435","Parasphyraenops incisus"
"2820","Fis-150446","Liopropoma longilepis"
"2821","Fis-150465","Serranus heterurus"
"2822","Fis-150478","Bhanotia pauciradiata"
"2823","Fis-150499","Hippocampus queenslandicus"
"2824","Fis-150528","Archistes biseriatus"
"2825","Fis-150530","Artediellus ingens"
"2826","Fis-150531","Myoxocephalus brandtii"
"2827","Fis-150532","Artediellichthys nigripinnis"
"2828","Fis-150534","Stelgistrum concinnum"
"2829","Fis-150537","Trichocottus brashnikovi"
"2830","Fis-150539","Ricuzenius pinetorum"
"2831","Fis-150540","Alcichthys elongatus"
"2832","Fis-150550","Icelinus pietschi"
"2833","Fis-150551","Radulinopsis taranetzi"
"2834","Fis-150557","Porocottus mednius"
"2835","Fis-150559","Paraplotosus muelleri"
"2836","Fis-150561","Paraplotosus butleri"
"2837","Fis-150563","Plectorhinchus gibbosus"
"2838","Fis-150567","Elacatinus evelynae"
"2839","Fis-150577","Hetereleotris vulgaris"
"2840","Fis-150578","Asterropteryx semipunctata"
"2841","Fis-150579","Asterropteryx striata"
"2842","Fis-150580","Asterropteryx ensifera"
"2843","Fis-150581","Asterropteryx spinosa"
"2844","Fis-150592","Oxyurichthys notonema"
"2845","Fis-150601","Mugilogobius notospilus"
"2846","Fis-150609","Gobiopsis malekulae"
"2847","Fis-150611","Phyllogobius platycephalops"
"2848","Fis-150627","Lythrypnus brasiliensis"
"2849","Fis-150629","Myersina filifer"
"2850","Fis-150636","Ctenogobius boleosoma"
"2851","Fis-150638","Trimma dalerocheila"
"2852","Fis-150639","Tryssogobius colini"
"2853","Fis-150640","Tryssogobius longipes"
"2854","Fis-150641","Lubricogobius dinah"
"2855","Fis-150645","Vanderhorstia longimanus"
"2856","Fis-150648","Ctenogobius saepepallens"
"2857","Fis-150650","Lesueurigobius sanzi"
"2858","Fis-150651","Eviota indica"
"2859","Fis-150674","Cabillus macrophthalmus"
"2860","Fis-150705","Lonchurus elegans"
"2861","Fis-150709","Stellifer walkeri"
"2862","Fis-150727","Soleichthys microcephalus"
"2863","Fis-150731","Aseraggodes texturatus"
"2864","Fis-150740","Aseraggodes ramsaii"
"2865","Fis-150742","Synapturichthys kleinii"
"2866","Fis-150744","Liachirus melanospilos"
"2867","Fis-150746","Lile nigrofasciata"
"2868","Fis-150747","Ilisha fuerthii"
"2869","Fis-150751","Sebastes ventricosus"
"2870","Fis-150754","Helicolenus mouchezi"
"2871","Fis-150758","Eleginus nawaga"
"2872","Fis-150774","Myripristis earlei"
"2873","Fis-150883","Stegastes leucorus"
"2874","Fis-150910","Canthigaster natalensis"
"2875","Fis-150917","Histiobranchus australis"
"2876","Fis-150922","Astronesthes ijimai"
"2877","Fis-150929","Diaphus sagamiensis"
"2878","Fis-150932","Gobiodon ceramensis"
"2879","Fis-151087","Trimma annosum"
"2880","Fis-151200","Chaenopsis alepidota"
"2881","Fis-151217","Ambassis ambassis"
"2882","Fis-151268","Starksia smithvanizi"
"2883","Fis-151269","Tomicodon briggsi"
"2884","Fis-151279","Tomicodon cryptus"
"2885","Fis-151281","Tomicodon leurodiscus"
"2886","Fis-151283","Tomicodon rupestris"
"2887","Fis-151394","Chiloconger philippinensis"
"2888","Fis-151399","Paraconger similis"
"2889","Fis-151410","Pseudoplesiops wassi"
"2890","Fis-151435","Pomacentrus aurifrons"
"2891","Fis-151439","Lethrinus ravus"
"2892","Fis-151600","Neoscorpaena nielseni"
"2893","Fis-151601","Neovespicula depressifrons"
"2894","Fis-151743","Pseudocoris aurantiofasciata"
"2895","Fis-151763","Fusigobius inframaculatus"
"2896","Fis-151820","Fusigobius gracilis"
"2897","Fis-151821","Fusigobius humeralis"
"2898","Fis-151828","Fusigobius maximus"
"2899","Fis-151829","Fusigobius melacron"
"2900","Fis-151830","Fusigobius pallidus"
"2901","Fis-151993","Chaetodon interruptus"
"2902","Fis-152001","Urolophus deforgesi"
"2903","Fis-152008","Urolophus neocaledoniensis"
"2904","Fis-152011","Urolophus papilio"
"2905","Fis-152012","Urolophus piperatus"
"2906","Fis-152016","Oneirodes pietschi"
"2908","Fis-152025","Bufoceratias shaoi"
"2909","Fis-152042","Eustomias jimcraddocki"
"2910","Fis-152044","Eustomias monodactylus"
"2911","Fis-152091","Symphurus bathyspilus"
"2912","Fis-152093","Hippocampus colemani"
"2913","Fis-152095","Lumpenopsis clitella"
"2914","Fis-152142","Paracentropyge multifasciata"
"2915","Fis-152150","Dactylopus kuiteri"
"2916","Fis-15220","Chlorophthalmus borealis"
"2917","Fis-152317","Psammogobius biocellatus"
"2918","Fis-152319","Arcygobius baliurus"
"2919","Fis-152324","Drombus palackyi"
"2920","Fis-152348","Gobiopterus mindanensis"
"2921","Fis-152442","Hexanematichthys sagor"
"2922","Fis-152510","Lycodes hubbsi"
"2923","Fis-152512","Lycodes marisalbi"
"2924","Fis-152906","Schindleria brevipinguis"
"2925","Fis-153058","Iniistius bimaculatus"
"2926","Fis-153080","Sparisoma tuiupiranga"
"2927","Fis-153187","Cirrhilabrus marjorie"
"2928","Fis-153188","Paracheilinus rubricaudalis"
"2929","Fis-153199","Helcogramma albimacula"
"2930","Fis-153200","Helcogramma cerasina"
"2931","Fis-153201","Helcogramma desa"
"2932","Fis-153233","Helcogramma lacuna"
"2933","Fis-153239","Helcogramma nigra"
"2934","Fis-153269","Scomberesox simulans"
"2935","Fis-153350","Tanakius kitaharae"
"2936","Fis-153366","Mugil gaimardianus"
"2937","Fis-153524","Hydrolagus matallanasi"
"2938","Fis-15353","Bathyraja spinicauda"
"2939","Fis-153533","Helcogramma inclinata"
"2940","Fis-153539","Clupea pallasii pallasii"
"2942","Fis-153570","Protosciaena bathytatos"
"2943","Fis-153573","Mullus barbatus barbatus"
"2946","Fis-153667","Trimma cana"
"2947","Fis-153676","Trimma sostra"
"2948","Fis-153677","Trimma squamicana"
"2949","Fis-153712","Scorpaena cocosensis"
"2950","Fis-153714","Phyllorhinichthys balushkini"
"2951","Fis-153727","Scartella poiti"
"2952","Fis-153814","Cubiceps whiteleggii"
"2953","Fis-153827","Xenocephalus australiensis"
"2954","Fis-153858","Agonopsis asperoculis"
"2955","Fis-153859","Freemanichthys thompsoni"
"2956","Fis-153866","Sarritor knipowitschi"
"2957","Fis-153980","Vanderhorstia nannai"
"2959","Fis-154008","Bythaelurus clevai"
"2960","Fis-154010","Bythaelurus hispidus"
"2961","Fis-154012","Bythaelurus lutarius"
"2962","Fis-154079","Ecsenius shirleyae"
"2963","Fis-154197","Idiotropiscis lumnitzeri"
"2964","Fis-154210","Pomacentrus bipunctatus"
"2965","Fis-154234","Notarius biffi"
"2966","Fis-154240","Microbrotula bentleyi"
"2967","Fis-154243","Microbrotula queenslandica"
"2968","Fis-154283","Liparis tanakae"
"2969","Fis-154295","Ariosoma fasciatum"
"2970","Fis-154385","Alticus sertatus"
"2971","Fis-154393","Eviota monostigma"
"2972","Fis-154401","Parapercis australis"
"2973","Fis-154404","Synchiropus corallinus"
"2974","Fis-154433","Hyporhamphus acutus"
"2976","Fis-154471","Feia dabra"
"2977","Fis-154474","Trimma marinae"
"2978","Fis-154486","Trimma nasa"
"2979","Fis-154525","Myxine jespersenae"
"2980","Fis-154605","Lumpenopsis hypochroma"
"2981","Fis-154652","Halichoeres dimidiatus"
"2982","Fis-154696","Esselenichthys carli"
"2983","Fis-154697","Esselenichthys laurae"
"2984","Fis-154822","Careproctus ovigerus"
"2985","Fis-154874","Praematoliparis anarthractae"
"2986","Fis-155103","Iniistius dea"
"2987","Fis-155191","Entomacrodus lighti"
"2988","Fis-155307","Kyphosus pacificus"
"2989","Fis-155578","Scorpaenichthys marmoratus"
"2990","Fis-155662","Hoplunnis diomediana"
"2991","Fis-155663","Hypsoblennius hentz"
"2992","Fis-155664","Kochichthys flavofasciatus"
"2993","Fis-155667","Neocentropogon aeglefinus"
"2994","Fis-155686","Sardinella jussieu"
"2996","Fis-155785","Diplodus capensis"
"2997","Fis-155845","Triglops jordani"
"2998","Fis-155848","Parapercis tetracantha"
"2999","Fis-156172","Sciades herzbergii"
"3000","Fis-156241","Bathyraja taranetzi"
"3001","Fis-156254","Oncorhynchus clarkii"
"3002","Fis-156259","Ophidion antipholus"
"3003","Fis-156260","Ophidion dromio"
"3004","Fis-156277","Dactyloscopus fimbriatus"
"3005","Fis-156279","Starksia guadalupae"
"3006","Fis-156281","Ctenogobius claytonii"
"3007","Fis-156316","Ariopsis guatemalensis"
"3008","Fis-156325","Evermannichthys spongicola"
"3009","Fis-156337","Neosebastes johnsoni"
"3010","Fis-156338","Neosebastes longirostris"
"3011","Fis-156341","Neosebastes occidentalis"
"3012","Fis-156398","Hemigaleus australiensis"
"3013","Fis-156400","Bothrocara nyx"
"3014","Fis-156511","Sunagocia otaitensis"
"3015","Fis-156530","Apristurus melanoasper"
"3016","Fis-156671","Abalistes filamentosus"
"3017","Fis-156683","Oxycheilinus nigromarginatus"
"3018","Fis-156684","Alabes parvula"
"3019","Fis-156685","Alabes elongata"
"3020","Fis-156686","Alabes gibbosa"
"3021","Fis-156710","Alabes obtusirostris"
"3022","Fis-156711","Alabes occidentalis"
"3023","Fis-156713","Ostorhinchus rubrimacula"
"3024","Fis-156722","Alabes scotti"
"3025","Fis-156728","Gobiodon prolixus"
"3026","Fis-156731","Paraxenisthmus cerberusi"
"3027","Fis-156781","Gnatholepis ophthalmotaenia"
"3028","Fis-156808","Yirrkala moorei"
"3029","Fis-156828","Careproctus longipinnis"
"3030","Fis-156843","Scolecenchelys castlei"
"3031","Fis-15686","Selenotoca multifasciata"
"3032","Fis-156892","Amblygobius stethophthalmus"
"3034","Fis-156901","Trimma flavicaudatum"
"3035","Fis-156902","Trimma rubromaculatum"
"3036","Fis-156993","Triglops dorothy"
"3037","Fis-157653","Trimma anthrenum"
"3038","Fis-157654","Trimma preclarum"
"3039","Fis-157676","Apogon rubellus"
"3040","Fis-157684","Hippocampus patagonicus"
"3041","Fis-157811","Paramonacanthus curtorhynchos"
"3042","Fis-158067","Allocareproctus tanix"
"3043","Fis-158069","Allocareproctus kallaion"
"3044","Fis-158070","Allocareproctus unangas"
"3045","Fis-158071","Allocareproctus ungak"
"3046","Fis-158074","Amblyeleotris biguttata"
"3047","Fis-158082","Aseraggodes auroculus"
"3048","Fis-158083","Aseraggodes cyclurus"
"3049","Fis-158096","Aseraggodes lenisquamis"
"3050","Fis-158102","Aseraggodes magnoculus"
"3051","Fis-15811","Diaphus metopoclampus"
"3052","Fis-158129","Nibea coibor"
"3053","Fis-158132","Scorpaenopsis eschmeyeri"
"3054","Fis-158159","Neopomacentrus sororius"
"3055","Fis-158171","Helotes sexlineatus"
"3056","Fis-158172","Thalassoma nigrofasciatum"
"3057","Fis-158192","Trimma fangi"
"3058","Fis-158193","Trimma agrena"
"3059","Fis-158214","Trimma volcana"
"3060","Fis-158215","Trimma lantana"
"3061","Fis-158246","Lycodes akuugun"
"3062","Fis-158249","Chaunacops coloratus"
"3063","Fis-158250","Chaunacops melanostomus"
"3064","Fis-158252","Scorpaena gasta"
"3065","Fis-158258","Hetereleotris readerae"
"3066","Fis-158270","Maxillicosta meridianus"
"3067","Fis-158311","Hydrolagus alphus"
"3068","Fis-158335","Exyrias akihito"
"3069","Fis-158348","Aseraggodes diringeri"
"3070","Fis-158353","Aseraggodes heemstrai"
"3071","Fis-158412","Ariosoma howensis"
"3072","Fis-158417","Ariosoma sazonovi"
"3073","Fis-158420","Gnathophis neocaledoniensis"
"3074","Fis-158423","Blachea longicaudalis"
"3075","Fis-158435","Ophioblennius trinitatis"
"3076","Fis-158436","Asterorhombus cocosensis"
"3077","Fis-158438","Engyprosopon osculus"
"3078","Fis-158441","Asterorhombus filifer"
"3079","Fis-158476","Paracaristius maderensis"
"3080","Fis-158488","Muraenolepis marmorata"
"3081","Fis-15849","Gymnura natalensis"
"3082","Fis-158513","Bathyraja mariposa"
"3083","Fis-158519","Vladichthys gloverensis"
"3084","Fis-158522","Colletteichthys dussumieri"
"3085","Fis-158534","Enneapterygius gruschkai"
"3086","Fis-158535","Enneapterygius kosiensis"
"3087","Fis-158537","Chlidichthys abruptus"
"3088","Fis-158538","Chlidichthys chagosensis"
"3089","Fis-158547","Chlidichthys clibanarius"
"3090","Fis-158632","Saurida macrolepis"
"3091","Fis-158649","Antigonia undulata"
"3092","Fis-158650","Antigonia hulleyi"
"3093","Fis-158659","Diancistrus alatus"
"3094","Fis-158666","Diancistrus alleni"
"3095","Fis-158668","Diancistrus altidorsalis"
"3096","Fis-158669","Diancistrus atollorum"
"3097","Fis-158670","Diancistrus beateae"
"3099","Fis-158733","Brotulinella taiwanensis"
"3100","Fis-158734","Diancistrus brevirostris"
"3101","Fis-158735","Diancistrus eremitus"
"3102","Fis-158736","Diancistrus erythraeus"
"3103","Fis-158737","Diancistrus fijiensis"
"3104","Fis-158744","Diancistrus fuscus"
"3105","Fis-158769","Diancistrus jeffjohnsoni"
"3106","Fis-158770","Diancistrus karinae"
"3107","Fis-158783","Diancistrus leisi"
"3108","Fis-158784","Diancistrus mcgroutheri"
"3109","Fis-158800","Diancistrus machidai"
"3110","Fis-158805","Diancistrus novaeguineae"
"3111","Fis-158807","Diancistrus pohnpeiensis"
"3112","Fis-158809","Chaenogobius gulosus"
"3113","Fis-158811","Diancistrus tongaensis"
"3114","Fis-158815","Paradiancistrus acutirostris"
"3115","Fis-158817","Paradiancistrus cuyoensis"
"3116","Fis-158818","Dermatopsis greenfieldi"
"3117","Fis-158819","Dermatopsis hoesei"
"3118","Fis-158852","Parapercis lineopunctata"
"3119","Fis-158865","Dipulus hutchinsi"
"3120","Fis-158877","Dermatopsoides morrisonae"
"3121","Fis-158884","Lucifuga lucayana"
"3122","Fis-158886","Ogilbia boydwalkeri"
"3123","Fis-158895","Ogilbia davidsmithi"
"3124","Fis-158896","Ogilbia jewettae"
"3125","Fis-158897","Ogilbia nigromarginata"
"3126","Fis-158899","Ogilbia nudiceps"
"3127","Fis-158907","Ogilbia robertsoni"
"3128","Fis-158908","Ogilbia sedorae"
"3129","Fis-158909","Ogilbia boehlkei"
"3130","Fis-158911","Ogilbia jeffwilliamsi"
"3131","Fis-158917","Ogilbia mccoskeri"
"3132","Fis-158918","Ogilbia sabaji"
"3133","Fis-158919","Ogilbia suarezae"
"3134","Fis-158926","Ogilbia tyleri"
"3135","Fis-159060","Linophryne bicornis"
"3136","Fis-159076","Aulotrachichthys prosthemius"
"3137","Fis-159112","Lioscorpius trifasciatus"
"3139","Fis-159119","Pastinachus solocirostris"
"3140","Fis-159132","Orectolobus hutchinsi"
"3141","Fis-159136","Rhinobatos sainsburyi"
"3142","Fis-159146","Brochiraja spinifera"
"3143","Fis-159148","Brochiraja albilabiata"
"3144","Fis-159150","Brochiraja microspinifera"
"3145","Fis-159168","Ogilbichthys ferocis"
"3146","Fis-159170","Ogilbichthys kakuki"
"3147","Fis-159171","Ogilbichthys longimanus"
"3148","Fis-159173","Ogilbichthys microphthalmus"
"3149","Fis-159187","Trimma flavatrum"
"3150","Fis-159189","Trimma hayashii"
"3151","Fis-159194","Tripterygion tartessicum"
"3152","Fis-159253","Ryukyupercis gushikeni"
"3153","Fis-159261","Halieutopsis margaretae"
"3154","Fis-159319","Dolichopteryx minuscula"
"3156","Fis-159377","Poecilopsetta pectoralis"
"3157","Fis-159390","Trachyscorpia carnomagula"
"3158","Fis-159405","Bythaelurus canescens"
"3159","Fis-159418","Dasyatis hypostigma"
"3160","Fis-159503","Coelorinchus amydrozosterus"
"3161","Fis-159506","Coelorinchus caudani"
"3162","Fis-159507","Coelorinchus celaenostomus"
"3163","Fis-159509","Coelorinchus charius"
"3164","Fis-159510","Coelorinchus cookianus"
"3165","Fis-159513","Coelorinchus gaesorhynchus"
"3166","Fis-159514","Coelorinchus geronimo"
"3167","Fis-159517","Coelorinchus horribilis"
"3168","Fis-159521","Coelorinchus leptorhinus"
"3169","Fis-159522","Coelorinchus maurofasciatus"
"3170","Fis-159523","Coelorinchus mayiae"
"3171","Fis-159526","Coelorinchus melanosagmatus"
"3172","Fis-159528","Coelorinchus mycterismus"
"3173","Fis-159533","Coelorinchus pardus"
"3174","Fis-159534","Coelorinchus parvifasciatus"
"3175","Fis-159535","Coelorinchus polli"
"3176","Fis-159536","Coelorinchus semaphoreus"
"3177","Fis-159537","Coelorinchus sereti"
"3178","Fis-159538","Coelorinchus shcherbachevi"
"3179","Fis-159539","Coelorinchus sheni"
"3180","Fis-159540","Coelorinchus simorhynchus"
"3181","Fis-159543","Coelorinchus supernasutus"
"3182","Fis-159544","Coelorinchus thurla"
"3183","Fis-159545","Coelorinchus trachycarus"
"3184","Fis-159548","Coelorinchus trunovi"
"3185","Fis-159561","Zoramia flebila"
"3186","Fis-159562","Zoramia viridiventer"
"3187","Fis-159563","Tryssogobius porosus"
"3188","Fis-159567","Zoramia leptacantha"
"3189","Fis-159568","Zoramia gilberti"
"3190","Fis-159569","Zoramia perlita"
"3191","Fis-159570","Zoramia fragilis"
"3192","Fis-159576","Apogon campbelli"
"3193","Fis-159579","Allenbatrachus meridionalis"
"3194","Fis-159582","Glaucostegus halavi"
"3195","Fis-159583","Glaucostegus granulatus"
"3196","Fis-159584","Glaucostegus typus"
"3197","Fis-159585","Insentiraja subtilispinosa"
"3198","Fis-159586","Squalus crassispinus"
"3199","Fis-159650","Iniistius griffithsi"
"3200","Fis-159653","Periophthalmodon freycineti"
"3201","Fis-159655","Scarus coeruleus"
"3202","Fis-159662","Amphiarius phrygiatus"
"3203","Fis-159682","Amissidens hainesi"
"3204","Fis-159697","Aspistor hardenbergi"
"3205","Fis-159754","Sciades sona"
"3206","Fis-159765","Nemapteryx armiger"
"3207","Fis-159767","Nemapteryx caelata"
"3208","Fis-159768","Nemapteryx macronotacantha"
"3209","Fis-159772","Nemapteryx nenga"
"3210","Fis-159775","Neoarius graeffei"
"3211","Fis-159777","Neoarius leptaspis"
"3212","Fis-159781","Neoarius pectoralis"
"3213","Fis-159784","Netuma bilineata"
"3214","Fis-159785","Netuma proxima"
"3215","Fis-159798","Plicofollis argyropleuron"
"3216","Fis-159802","Plicofollis dussumieri"
"3217","Fis-159805","Plicofollis nella"
"3218","Fis-159808","Plicofollis polystaphylodon"
"3220","Fis-159813","Plicofollis tonggol"
"3221","Fis-159824","Oxycheilinus lineatus"
"3222","Fis-159835","Amphiarius rugispinis"
"3223","Fis-159842","Sciades proops"
"3224","Fis-159857","Paroncheilus affinis"
"3225","Fis-159888","Tetrosomus reipublicae"
"3226","Fis-159985","Cirrhigaleus australis"
"3227","Fis-160080","Zearaja chilensis"
"3228","Fis-160185","Pseudopataecus taenianotus"
"3229","Fis-160186","Cocotropus microps"
"3230","Fis-16019","Paralepis speciosa"
"3231","Fis-160193","Caranx fischeri"
"3232","Fis-160243","Lophiocharon hutchinsi"
"3233","Fis-160266","Halaelurus maculosus"
"3234","Fis-160267","Halaelurus sellus"
"3235","Fis-160278","Simipercis trispinosa"
"3236","Fis-160284","Trimma gigantum"
"3237","Fis-160285","Trimma randalli"
"3238","Fis-160286","Trimma tauroculum"
"3239","Fis-160287","Trimma fucatum"
"3240","Fis-160296","Trimma sanguinellus"
"3241","Fis-160300","Chromis abyssus"
"3242","Fis-160301","Chromis brevirostris"
"3243","Fis-160303","Chromis degruyi"
"3244","Fis-160304","Chromis earina"
"3245","Fis-160316","Bathyraja cousseauae"
"3246","Fis-160362","Scarus maculipinna"
"3247","Fis-160370","Squalus albifrons"
"3248","Fis-160374","Squalus notocaudatus"
"3249","Fis-160378","Squalus montalbani"
"3250","Fis-160383","Squalus chloroculus"
"3251","Fis-160414","Sebastes variabilis"
"3252","Fis-160425","Trypauchen pelaeos"
"3253","Fis-160439","Squalus edmundsi"
"3254","Fis-160440","Squalus grahami"
"3255","Fis-160444","Squalus nasutus"
"3256","Fis-160447","Malacoraja obscura"
"3257","Fis-160464","Mustelus ravidus"
"3258","Fis-160467","Stemonosudis elongata"
"3259","Fis-160485","Brachionichthys australis"
"3260","Fis-160648","Euristhmus microphthalmus"
"3261","Fis-160669","Parmaturus albipenis"
"3262","Fis-160684","Squalus griffini"
"3263","Fis-160689","Asterropteryx ovata"
"3264","Fis-160691","Squalus hemipinnis"
"3265","Fis-160718","Squatina mexicana"
"3266","Fis-160768","Samariscus multiradiatus"
"3267","Fis-160788","Nuchequula blochii"
"3268","Fis-160793","Nuchequula glenysae"
"3269","Fis-160794","Nuchequula longicornis"
"3270","Fis-160811","Nuchequula nuchalis"
"3271","Fis-160812","Nuchequula gerreoides"
"3272","Fis-160824","Photopectoralis bindus"
"3273","Fis-160825","Nectamia viria"
"3274","Fis-160827","Discotrema monogrammum"
"3275","Fis-160828","Discotrema crinophilum"
"3276","Fis-160831","Chrysiptera giti"
"3277","Fis-160832","Paracheilinus nursalim"
"3278","Fis-160834","Hemiscyllium galei"
"3279","Fis-160836","Pictichromis caitlinae"
"3280","Fis-160840","Pictichromis aurifrons"
"3281","Fis-160842","Pictichromis diadema"
"3282","Fis-160843","Pictichromis ephippiata"
"3283","Fis-160844","Pictichromis paccagnellae"
"3284","Fis-160846","Pictichromis porphyrea"
"3285","Fis-160849","Grallenia lipi"
"3289","Fis-160860","Squatina albipunctata"
"3290","Fis-160862","Squatina pseudocellata"
"3291","Fis-160863","Pseudanthias charleneae"
"3292","Fis-160864","Pterocaesio monikae"
"3293","Fis-160866","Pictichromis coralensis"
"3294","Fis-160868","Pterois andover"
"3295","Fis-160879","Sinobatis bulbicauda"
"3296","Fis-160881","Sinobatis caerulea"
"3297","Fis-160882","Sinobatis filicauda"
"3298","Fis-160886","Orectolobus floridus"
"3299","Fis-160887","Orectolobus parvimaculatus"
"3300","Fis-160888","Nectamia ignitops"
"3301","Fis-160889","Nectamia luxuria"
"3302","Fis-160890","Nectamia similis"
"3303","Fis-160894","Vanderhorstia steelei"
"3304","Fis-160896","Plotosus japonicus"
"3305","Fis-160897","Cynoglossus ochiaii"
"3306","Fis-160898","Trimma kudoi"
"3307","Fis-160899","Trimma yanoi"
"3308","Fis-160903","Parapercis katoi"
"3309","Fis-160906","Acanthopagrus chinshira"
"3310","Fis-160909","Engyprosopon kushimotoensis"
"3311","Fis-160910","Cocotropus possi"
"3312","Fis-160921","Cephaloscyllium sarawakensis"
"3313","Fis-160925","Electrolux addisoni"
"3314","Fis-160935","Atelomycterus marnkalha"
"3315","Fis-160938","Holohalaelurus favus"
"3316","Fis-160940","Mustelus albipinnis"
"3317","Fis-160944","Bathyphylax pruvosti"
"3318","Fis-160950","Neoraja iberica"
"3319","Fis-160954","Urolophus kapalensis"
"3320","Fis-160961","Kali colubrina"
"3321","Fis-160978","Nectamia annularis"
"3322","Fis-160987","Nectamia fusca"
"3323","Fis-160988","Nectamia savayensis"
"3324","Fis-161008","Thermichthys hollisi"
"3325","Fis-161020","Photostomias goodyeari"
"3326","Fis-161024","Symphurus ocellaris"
"3327","Fis-161027","Ptereleotris brachyptera"
"3328","Fis-161031","Manonichthys jamali"
"3329","Fis-161033","Scorpaena bulacephala"
"3330","Fis-161040","Photostomias atrox"
"3331","Fis-161046","Dipturus wuhanlingi"
"3332","Fis-161056","Equulites elongatus"
"3333","Fis-161057","Equulites klunzingeri"
"3334","Fis-161058","Equulites laterofenestra"
"3335","Fis-161059","Equulites leuciscus"
"3336","Fis-161060","Equulites moretoniensis"
"3337","Fis-161061","Equulites rivulatus"
"3338","Fis-161062","Equulites stercorarius"
"3339","Fis-161063","Eubleekeria jonesi"
"3340","Fis-161065","Eubleekeria rapsoni"
"3341","Fis-161066","Eubleekeria splendens"
"3342","Fis-161069","Pomacentrus microspilus"
"3343","Fis-161071","Chromis xouthos"
"3344","Fis-161073","Zearaja nasuta"
"3345","Fis-161080","Epibulus brevis"
"3346","Fis-161084","Vanderhorstia nobilis"
"3347","Fis-161086","Eviota hoesei"
"3348","Fis-161089","Eviota readerae"
"3349","Fis-161092","Xenisthmus eirospilus"
"3350","Fis-161097","Asterropteryx senoui"
"3351","Fis-161099","Vanderhorstia papilio"
"3352","Fis-161116","Apogon seminigracaudus"
"3353","Fis-161117","Argyripnus pharos"
"3354","Fis-161120","Synaphobranchus calvus"
"3355","Fis-161121","Albula oligolepis"
"3356","Fis-161132","Aseraggodes longipinnis"
"3357","Fis-161133","Aseraggodes matsuurai"
"3358","Fis-161136","Aseraggodes suzumotoi"
"3359","Fis-161137","Aseraggodes winterbottomi"
"3360","Fis-161142","Aseraggodes xenicus"
"3361","Fis-161155","Dipturus acrobelus"
"3362","Fis-161158","Dipturus apricus"
"3364","Fis-161161","Dipturus melanospilus"
"3365","Fis-161162","Dipturus queenslandicus"
"3366","Fis-161163","Hoplolatilus erdmanni"
"3367","Fis-161164","Ctenogobiops mitodes"
"3368","Fis-161167","Tomiyamichthys tanyspilus"
"3369","Fis-161168","Tomiyamichthys fourmanoiri"
"3370","Fis-161169","Tomiyamichthys latruncularius"
"3371","Fis-161171","Tomiyamichthys lanceolatus"
"3372","Fis-161175","Chromis onumai"
"3373","Fis-161177","Lycenchelys ryukyuensis"
"3374","Fis-161179","Trimma nomurai"
"3375","Fis-161181","Aseraggodes corymbus"
"3376","Fis-161183","Cirrhilabrus cenderawasih"
"3377","Fis-161188","Chaenophryne quasiramifera"
"3378","Fis-161193","Vanderhorstia attenuata"
"3379","Fis-161199","Vanderhorstia auronotata"
"3380","Fis-161201","Vanderhorstia dorsomacula"
"3381","Fis-161202","Dipturus canutus"
"3384","Fis-161216","Dipturus grahami"
"3386","Fis-161221","Dipturus wengi"
"3387","Fis-161225","Okamejei arafurensis"
"3388","Fis-161228","Okamejei leptoura"
"3389","Fis-161231","Rajella challengeri"
"3390","Fis-161233","Leucoraja pristispina"
"3391","Fis-161235","Irolita westraliensis"
"3392","Fis-161239","Notoraja azurea"
"3393","Fis-161242","Notoraja sticta"
"3394","Fis-161244","Cirrhilabrus brunneus"
"3395","Fis-161246","Paracheilinus walton"
"3396","Fis-161247","Parapercis phenax"
"3397","Fis-161252","Astronesthes formosana"
"3398","Fis-161255","Stigmatopora narinosa"
"3399","Fis-161257","Tryssogobius flavolineatus"
"3400","Fis-161259","Tryssogobius nigrolineatus"
"3401","Fis-161270","Pseudoscopelus pierbartus"
